country,gas,diesel,eH,eP,sub,int,fInf,avgKm,evR,iceR,hybR,hourly,evSh
thailand,1.14,0.90,0.13,0.20,2860,3.5,3,15000,40,48,44,2.5,21
vietnam,0.96,0.84,0.084,0.15,1200,7,4,12000,35,50,45,2.0,18
indonesia,0.78,0.52,0.086,0.16,4400,6,3,12000,35,50,45,1.8,13
malaysia,0.47,0.50,0.102,0.18,0,3.5,5,15000,38,52,48,2.5,4
singapore,2.10,2.00,0.22,0.48,11000,2.5,2,12000,30,35,32,8.0,40
philippines,1.08,0.93,0.23,0.59,0,6,4,12000,30,50,45,2.0,1.5
cambodia,1.25,1.05,0.152,0.25,0,8,3,10000,30,55,48,1.5,0.8
myanmar,0.84,0.80,0.023,0.10,0,10,8,8000,25,55,48,1.2,0.3
taiwan,0.96,0.84,0.10,0.22,2500,3,2,12000,38,50,46,5.0,9
